,0
2314,21
2315,65
2316,25
2317,1
2318,18
2319,164
2320,10
2321,4
2322,29
2323,1
2324,56
2325,33
2326,25
2327,79
2328,4
2329,7
2330,2
2331,15
2332,5
2333,4
2334,3
2335,2
2336,61
2337,22
2338,23
2339,28
2340,7
2341,23
2342,23
2343,17
2344,37
2345,9
2346,4
2347,1
2348,29
2349,37
2350,28
2351,2
2352,3
2353,14
2354,34
2355,6
2356,6
2357,12
2358,38
2359,37
2360,13
2361,10
2362,22
2363,18
2364,15
2365,16
2366,42
2367,4
2368,4
2369,9
2370,4
2371,1
2372,10
2373,9
2374,3
2375,15
2376,20
2377,18
2378,708
2379,30
2380,5
2381,27
2382,5
2383,146
2384,12
2385,28
2386,84
2387,12
2388,13
2389,6
2390,2
2391,2
2392,48
2393,32
2394,22
2395,5
2396,11
2397,25
2398,51
2399,14
2400,12
2401,11
2402,22
2403,7
2404,17
2405,18
2406,8
2407,10
2408,3
2409,7
2410,18
2411,0
2412,1
2413,113
2414,12
2415,22
2416,49
2417,11
2418,39
2419,62
2420,25
2421,46
2422,14
2423,12
2424,2
2425,6
2426,50
2427,7
2428,3
2429,9
2430,12
2431,11
2432,17
2433,84
2434,2
2435,8
2436,5
2437,704
2438,25
2439,99
2440,5
2441,9
2442,38
2443,53
2444,3
2445,18
2446,7
2447,1
2448,10
2449,20
2450,21
2451,2
2452,29
2453,2
2454,15
2455,15
2456,8
2457,52
2458,5
2459,375
2460,26
2461,6
2462,15
2463,6
2464,1
2465,35
2466,88
2467,15
2468,8
2469,62
2470,9
2471,17
2472,8
2473,17
2474,82
2475,5
2476,11
2477,64
2478,5
2479,10
2480,10
2481,12
2482,78
2483,9
2484,136
2485,67
2486,3
2487,5
2488,2
2489,208
2490,7
2491,9
2492,13
2493,36
2494,2
2495,34
2496,2
2497,98
2498,7
2499,36
2500,54
2501,7
2502,5
2503,15
2504,10
2505,5
2506,27
2507,12
2508,33
2509,1
2510,14
2511,7
2512,6
2513,10
2514,18
2515,461
2516,4
2517,37
2518,12
2519,5
2520,22
2521,41
2522,115
2523,19
2524,18
2525,9
2526,10
2527,6
2528,0
2529,4
2530,6
2531,18
2532,14
2533,81
2534,6
2535,11
2536,20
2537,19
2538,5
2539,2
2540,1
2541,6
2542,61
2543,26
2544,2
2545,14
2546,9
2547,7
2548,11
2549,13
2550,97
2551,15
2552,2
2553,1
2554,12
2555,5
2556,14
2557,210
2558,5
2559,113
2560,81
2561,1
2562,25
2563,1
2564,8
2565,7
2566,656
2567,5
2568,40
2569,0
2570,36
2571,23
2572,4
2573,4
2574,6
2575,4
2576,56
2577,12
2578,18
2579,4
2580,20
2581,67
2582,3
2583,19
2584,185
2585,47
2586,7
2587,15
2588,0
2589,8
2590,208
2591,16
2592,24
2593,1
2594,5
2595,18
2596,20
2597,17
2598,26
2599,10
2600,1
2601,7
2602,4
2603,5
2604,3
2605,24
2606,13
2607,42
2608,12
2609,21
2610,10
2611,194
2612,15
2613,11
2614,9
2615,9
2616,209
2617,6
2618,11
2619,4
2620,85
2621,25
2622,3
2623,10
2624,118
2625,6
2626,5
2627,8
2628,19
2629,19
2630,21
2631,156
2632,16
2633,18
2634,55
2635,1
2636,161
2637,5
2638,3
2639,2
2640,9
2641,8
2642,1
2643,3
2644,5
2645,9
2646,7
2647,2
2648,99
2649,6
2650,1
2651,7
2652,10
2653,9
2654,10
2655,11
2656,5
2657,3
2658,13
2659,34
2660,4
2661,4
2662,0
2663,44
2664,3
2665,121
2666,182
2667,13
2668,5
2669,126
2670,8
2671,9
2672,8
2673,12
2674,3
2675,3
2676,20
2677,9
2678,74
2679,14
2680,27
2681,40
2682,9
2683,1
2684,7
2685,8
2686,207
2687,1
2688,14
2689,28
2690,4
2691,10
2692,19
2693,3
2694,28
2695,59
2696,16
2697,13
2698,7
2699,0
2700,10
2701,38
2702,31
2703,43
2704,19
2705,7
2706,1
2707,10
2708,4
2709,7
2710,4
2711,21
2712,35
2713,13
2714,38
2715,2
2716,1
2717,69
2718,26
2719,648
2720,148
2721,2
2722,121
2723,43
2724,26
2725,2
2726,0
2727,43
2728,23
2729,1
2730,24
2731,56
2732,1
2733,23
2734,10
2735,81
2736,98
2737,51
2738,19
2739,5
2740,12
2741,11
2742,9
2743,15
2744,38
2745,17
2746,0
2747,13
2748,10
2749,3
2750,1
2751,17
2752,17
2753,21
2754,13
2755,3
2756,12
2757,8
2758,480
2759,9
2760,36
2761,9
2762,37
2763,3
2764,2
2765,0
2766,40
2767,27
2768,5
2769,71
2770,8
2771,33
2772,15
2773,6
2774,5
2775,3
2776,22
2777,5
2778,18
2779,8
2780,3
2781,11
2782,11
2783,79
2784,23
2785,3
2786,19
2787,10
2788,40
2789,6
2790,17
2791,21
2792,15
2793,1
2794,79
2795,5
2796,12
2797,61
2798,27
2799,4
2800,16
2801,2
2802,29
2803,1
2804,1
2805,14
2806,9
2807,20
2808,8
2809,4
2810,12
2811,57
2812,5
2813,1
2814,81
2815,3
2816,4
2817,15
2818,3
2819,4
2820,8
2821,30
2822,0
2823,1
2824,37
2825,45
2826,10
2827,15
2828,25
2829,27
2830,3
2831,2
2832,30
2833,3
2834,2
2835,20
2836,28
2837,3
2838,72
2839,7
2840,6
2841,134
2842,4
2843,3
2844,73
2845,5
2846,20
2847,73
2848,44
2849,0
2850,8
2851,6
2852,2
2853,10
2854,72
2855,40
2856,14
2857,17
2858,5
2859,7
2860,9
2861,11
2862,11
2863,8
2864,7
2865,21
2866,9
2867,39
2868,285
2869,10
2870,2
2871,2
2872,18
2873,18
2874,1
2875,1
2876,2
2877,5
2878,3
2879,10
2880,10
2881,2
2882,1
2883,83
2884,12
2885,17
2886,10
2887,2
2888,3
2889,5
2890,46
2891,38
2892,23
2893,1
2894,12
2895,5
2896,17
2897,7
2898,12
2899,10
2900,47
2901,16
2902,10
2903,91
2904,21
2905,118
2906,9
2907,12
2908,3
2909,3
2910,3
2911,85
2912,142
2913,3
2914,183
2915,67
2916,25
2917,25
2918,54
2919,18
2920,1
2921,11
2922,5
2923,1
2924,83
2925,16
2926,16
2927,18
2928,422
2929,19
2930,122
2931,111
2932,18
2933,16
2934,22
2935,40
2936,8
2937,2
2938,19
2939,5
2940,13
2941,3
2942,38
2943,42
2944,147
2945,0
2946,28
2947,64
2948,74
2949,6
2950,30
2951,32
2952,6
2953,23
2954,8
2955,5
2956,116
2957,68
2958,3
2959,60
2960,18
2961,7
2962,28
2963,0
2964,23
2965,0
2966,21
2967,18
2968,3
2969,40
2970,10
2971,24
2972,5
2973,47
2974,36
2975,12
2976,23
2977,32
2978,7
2979,1
2980,29
2981,11
2982,18
2983,15
2984,14
2985,9
2986,44
2987,6
2988,25
2989,7
2990,2
2991,40
2992,8
2993,8
2994,90
